filename	min_trees	median_trees	max_trees	total_trees	PC_dist	patients	inferred_k	true_k	consensus_PC	selected_PC	clustering_recall	clustering_precision	clustering_Rand	selection_accuracy	sol_PC_dist	instance	method	M	m
RECAP/M12_m12/s0_k3_n50_M12_m12_simulations.txt_mcctCA_PC_r50_k9.solution.txt	1	8	156	1154	0.0	50	9	3	0.666667	0.043636400000000006	0.846535	1.0	0.9493879999999999	0.86	0	s0_k3_n50_M12_m12	RECAP-r50	12	12
RECAP/M12_m12/s0_k4_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k10.solution.txt	2	16	627	1950	0.0	50	10	4	0.6	0.014545500000000001	0.879747	1.0	0.96898	0.9	0	s0_k4_n50_M12_m12	RECAP-r100	12	12
RECAP/M12_m12/s0_k4_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k1.solution.txt	2	16	627	1950	25.4167	50	1	4	0.8636360000000001	0.24909099999999998	1.0	0.257959	0.257959	0.1	0	s0_k4_n50_M12_m12	RECAP-r100	12	12
RECAP/M12_m12/s0_k4_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k2.solution.txt	2	16	627	1950	12.4167	50	2	4	0.5	0.0745455	0.911392	0.4608	0.702041	0.64	0	s0_k4_n50_M12_m12	RECAP-r100	12	12
RECAP/M12_m12/s0_k4_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k3.solution.txt	2	16	627	1950	5.08333	50	3	4	0.25	0.0163636	0.962025	0.730769	0.898776	0.86	0	s0_k4_n50_M12_m12	RECAP-r100	12	12
RECAP/M12_m12/s0_k4_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k4.solution.txt	2	16	627	1950	0.0	50	4	4	0.0	0.0	1.0	1.0	1.0	1.0	0	s0_k4_n50_M12_m12	RECAP-r100	12	12
RECAP/M12_m12/s0_k4_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k5.solution.txt	2	16	627	1950	0.0	50	5	4	0.2	0.0	0.9525319999999999	1.0	0.9877549999999999	1.0	0	s0_k4_n50_M12_m12	RECAP-r100	12	12
RECAP/M12_m12/s0_k4_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k6.solution.txt	2	16	627	1950	0.0	50	6	4	0.333333	0.0581818	0.75	1.0	0.9355100000000001	0.84	0	s0_k4_n50_M12_m12	RECAP-r100	12	12
RECAP/M12_m12/s0_k4_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k7.solution.txt	2	16	627	1950	0.0	50	7	4	0.428571	0.0	0.9525319999999999	1.0	0.9877549999999999	1.0	0	s0_k4_n50_M12_m12	RECAP-r100	12	12
RECAP/M12_m12/s0_k4_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k8.solution.txt	2	16	627	1950	0.0	50	8	4	0.5	0.00363636	0.835443	1.0	0.957551	0.96	0	s0_k4_n50_M12_m12	RECAP-r100	12	12
RECAP/M12_m12/s0_k4_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k9.solution.txt	2	16	627	1950	0.0	50	9	4	0.555556	0.025454499999999998	0.753165	1.0	0.936327	0.88	0	s0_k4_n50_M12_m12	RECAP-r100	12	12
